PRHI Judging Schedule (2025-01-29 16:11:26.846876)

In room Salomon 001, from 12:00 to 13:30.
PRHI Teams, H@B Slot 1, H@B Slot 2,
test2, insane-armadillo-clap-deceivingly-prhi, 12:40 (Friedman 101), 13:30 (Salomon 203)
test4, faithful-pundit-entered-meaningfully-prhi, 13:00 (Friedman 201), 15:10 (Salomon 004)
test6, willful-staircase-back-sympathetically-prhi, 13:30 (Friedman 201), 15:00 (Friedman 102)
test8, helpful-beginner-mend-exactly-prhi, 12:00 (Friedman 201), 14:00 (Salomon 202)
test10, liver-laurels-asked-tediously-prhi, 12:50 (Friedman 201), 13:50 (Friedman 102)
test12, subordinate-lineage-divided-kookily-prhi, 12:10 (Friedman 201), 14:30 (Salomon 202)
test14, deprived-outfield-wink-swiftly-prhi, 12:10 (Salomon 202), 13:10 (Friedman 102)
test16, neurological-mayhem-rolled-worriedly-prhi, 13:20 (Salomon 202), 15:10 (Friedman 201)
test18, burial-mahogany-flash-fully-prhi, 12:10 (Friedman 101), 14:20 (Salomon 203)
test20, neutered-pathos-drip-fast-prhi, 12:40 (Salomon 202), 14:10 (Salomon 004)
test22, devilish-larceny-stretch-thoroughly-prhi, 14:00 (Friedman 102), 14:40 (Salomon 202)
test24, subjective-resurgence-repaired-yawningly-prhi, 12:00 (Salomon 004), 13:10 (Friedman 201)
test26, diagonal-fluke-blinded-frantically-prhi, 13:30 (Friedman 102), 14:10 (Friedman 101)
test28, interpreted-reptile-groan-anxiously-prhi, 12:50 (Friedman 101), 14:20 (Friedman 201)
test30, young-canary-pleased-heavily-prhi, 12:50 (Friedman 102), 15:00 (Friedman 201)
test32, angry-misunderstanding-calculate-softly-prhi, 13:30 (Salomon 202), 14:30 (Friedman 102)
test34, down-chimpanzee-drain-surprisingly-prhi, 12:00 (Friedman 101), 14:50 (Salomon 202)
test36, thrifty-postponement-milk-seldom-prhi, 13:40 (Salomon 004), 15:10 (Friedman 101)
test38, strapping-scrimmage-explode-shakily-prhi, 14:20 (Salomon 003), 15:00 (Friedman 101)
test40, slamming-locality-mess up-quizzically-prhi, 12:40 (Friedman 102), 14:10 (Salomon 202)
test42, workable-annoyance-fold-strictly-prhi, 12:50 (Salomon 004), 13:40 (Salomon 203)
test44, dorky-grouping-fear-worriedly-prhi, 13:40 (Salomon 003), 15:10 (Friedman 102)
test46, intimate-instructor-sparkle-sharply-prhi, 12:20 (Salomon 202), 12:40 (Friedman 201)
test48, clear-twenties-report-irritably-prhi, 14:00 (Friedman 101), 14:30 (Friedman 202)
test50, worsted-nylon-tour-knottily-prhi, 12:00 (Salomon 003), 13:40 (Salomon 202)
test52, fledgling-success-prevented-actually-prhi, 12:50 (Salomon 203), 15:00 (Friedman 202)
test54, neglected-regularity-promised-extremely-prhi, 13:50 (Friedman 202), 14:40 (Salomon 003)
test56, formulaic-metre-imagine-righteously-prhi, 13:20 (Salomon 203), 13:40 (Friedman 202)
test58, electoral-terry-employ-silently-prhi, 12:40 (Salomon 203), 13:20 (Friedman 202)
test60, worldwide-mediator-prepared-reassuringly-prhi, 14:00 (Friedman 202), 15:00 (Salomon 004)
test62, geometric-fastball-suppose-owlishly-prhi, 12:50 (Friedman 202), 14:30 (Salomon 004)
test64, devastating-drilling-reported-successfully-prhi, 12:20 (Salomon 003), 14:40 (Salomon 004)
