Team Name,Tracks,First Time
Mochampions LLC,"Best Arcade Hack (most arcade-themed), Best Developer Tool *Sponsored by Warp*, Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)", Yes this is our first hackathon!
Hang and Mia,"Best Design Hack (best no-code project prototyped in Figma or another design software), Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH)", Yes this is our first hackathon!
Paw and Order,"Best Arcade Hack (most arcade-themed), Best Use of AWS (requires usage of AWS!), Best Use of MongoDB Atlas (judged by MLH), Best Use of Terraform (judged by MLH), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)", Yes this is our first hackathon!
Serena & Karina Code,"Best Design Hack (best no-code project prototyped in Figma or another design software), Best Use of MongoDB Atlas (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH)", Yes this is our first hackathon!
Codex,"Best Use of AWS (requires usage of AWS!), Best Developer Tool *Sponsored by Warp*, Best Use of MongoDB Atlas (judged by MLH), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)", No
Jubilant Game Devs,"Best Arcade Hack (most arcade-themed)", Yes this is our first hackathon!
Kaizen,"Best Use of AI *powered by Reach Capital* (judged by MLH), Best Use of Gen AI (judged by MLH)", No
Friend Graph,"Best Use of AWS (requires usage of AWS!), Best Use of MongoDB Atlas (judged by MLH)", No
Stacked & Loaded,"Best Arcade Hack (most arcade-themed), Best Design Hack (best no-code project prototyped in Figma or another design software), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)", Yes this is our first hackathon!
Northeastern Undergraduate Engineers,"Best Arcade Hack (most arcade-themed), Best Use of AWS (requires usage of AWS!), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Use of Gen AI (judged by MLH)", No
BiteQuest,"Best Arcade Hack (most arcade-themed), Best Use of MongoDB Atlas (judged by MLH)", No
Learn2Play,"Best Arcade Hack (most arcade-themed), Best Design Hack (best no-code project prototyped in Figma or another design software), Best Use of AWS (requires usage of AWS!), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)", Yes this is our first hackathon!
MediScan,"Best Use of AWS (requires usage of AWS!), Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Use of MongoDB Atlas (judged by MLH), Best Use of Terraform (judged by MLH), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)", Yes this is our first hackathon!
ReVive,"Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)", Yes this is our first hackathon!
Script Squad,"Best Use of Gen AI (judged by MLH)", Yes this is our first hackathon!
Eatery,"Best Arcade Hack (most arcade-themed), Best Use of MongoDB Atlas (judged by MLH), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)", Yes this is our first hackathon!
JobQuest,"Best Design Hack (best no-code project prototyped in Figma or another design software), Best Use of AWS (requires usage of AWS!), Best Use of MongoDB Atlas (judged by MLH)", No
SideQuest,"Best Arcade Hack (most arcade-themed), Best Use of Terraform (judged by MLH), Best Use of Gen AI (judged by MLH)", No
Newsference,"Best Use of AI *powered by Reach Capital* (judged by MLH), Best Use of Gen AI (judged by MLH)", Yes this is our first hackathon!
LeTeam,"Best Arcade Hack (most arcade-themed), Best Use of MongoDB Atlas (judged by MLH)", Yes this is our first hackathon!
Best Friends Forever,"Best Arcade Hack (most arcade-themed), Best Domain Name from GoDaddy Registry (judged by MLH)", No
Diabetes 360,"Best Arcade Hack (most arcade-themed), Best Use of AWS (requires usage of AWS!), Best of Patient Safety (judged by Pittsburgh Regional Health Initiative), Best Use of MongoDB Atlas (judged by MLH), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)", Yes this is our first hackathon!
Pillai-Fan-Club,"Best Arcade Hack (most arcade-themed), Best Use of AWS (requires usage of AWS!), Best Use of AI *powered by Reach Capital* (judged by MLH), Best Domain Name from GoDaddy Registry (judged by MLH), Best Use of Gen AI (judged by MLH)", No
